iter	Passed	Remaining
0	148	148288
1	155	77595
2	168	55899
3	177	44172
4	184	36788
5	192	31886
6	199	28269
7	208	25867
8	218	24045
9	226	22411
10	236	21274
11	246	20262
12	255	19395
13	264	18616
14	274	18013
15	281	17293
16	291	16840
17	293	15988
18	303	15680
19	315	15440
20	323	15089
21	335	14925
22	345	14676
23	352	14343
24	362	14131
25	370	13873
26	380	13706
27	386	13432
28	396	13270
29	403	13042
30	423	13243
31	434	13141
32	440	12914
33	450	12791
34	457	12618
35	468	12554
36	495	12900
37	525	13307
38	545	13438
39	562	13498
40	574	13434
41	582	13276
42	594	13232
43	606	13188
44	617	13095
45	624	12944
46	642	13019
47	652	12940
48	664	12887
49	672	12776
50	680	12660
51	689	12569
52	700	12508
53	715	12539
54	723	12431
55	734	12383
56	743	12294
57	748	12160
58	755	12053
59	764	11971
60	774	11926
61	785	11886
62	800	11910
63	813	11893
64	821	11821
65	831	11769
66	839	11685
67	846	11602
68	858	11577
69	864	11484
70	875	11455
71	882	11368
72	892	11329
73	901	11283
74	907	11196
75	918	11164
76	925	11098
77	936	11066
78	942	10982
79	954	10972
80	963	10933
81	972	10883
82	981	10845
83	989	10794
84	997	10737
85	1008	10715
86	1016	10671
87	1027	10646
88	1039	10635
89	1048	10602
90	1055	10541
91	1064	10508
92	1073	10471
93	1082	10429
94	1091	10394
95	1116	10511
96	1120	10435
97	1131	10413
98	1143	10403
99	1153	10381
100	1161	10336
101	1172	10318
102	1179	10273
103	1189	102441104	1204	102691105	1220	102971106	1234	103021107	1248	10307
108	1262	10320
109	1269	102721110	1280	102561111	1287	102061112	1297	10183
113	1310	10183114	1320	10165
1115	1320	100611116	1330	100381117	1343	100391118	1352	100101119	1359	99701120	1364	99121121	1379	99291122	1389	99101123	1399	98831124	1410	98701125	1426	9894126	1444	9927
127	1452	9897
128	1467	9910
129	1484	9932
130	1497	9936
131	1511	9939
132	1518	9896
133	1530	9892
134	1543	9888
135	1553	9866
136	1559	9826
137	1566	9784
138	1578	9778
139	1591	9777
140	1602	9760
141	1608	9720
142	1616	9689
143	1623	9650
144	144	1644	9145	145	1657	91146146	1666	91147147	1677	91148148	1688	96149149	1694	96150150	1704	95151151	1712	95152152	1719	91153153	1729	95154154	1737	94155155	1750	94156156	1759	9448
157	1768	9423
158	1777	9403
159	1792	9411
160	1808	9421
161	1818	9408
162	1829	9392
163	1838	9370
164	1846	9343
165	1853	9311
166	1862	9288
167	1870	9265
168	1878	9234
169	1887	9215
170	1894	9185
171	1904	9169
172	1913	9146
173	1922	9128
174	1931	9103
175	1939	9080
176	1956	9097
177	1965	9076
178	1975	9061
179	1983	9037
180	1993	9020
181	2004	9007
182	2014	8993
183	2021	8965
184	2032	8956
185	2043	8944
186	2051	8920
187	2062	8910
188	2073	8897
189	2080	8869
190	2087	88191191	2097	8826
192	2110	8825
193	2120	8808
194	2129	8790
195	2137	8769
196	2145	8743
197	2154	8727
198	2161	8700
199	2172	8689
200	2178	8660
201	2187	8642
202	2196	86203203	2206	86204204	2214	85205205	2224	85206206	2233	85207207	2241	85208208	2254	8533
209	2267	8529
210	2282	8534
211	2323	8634
212	2344	8662
213	2357	8660
214	2361	86215215	2366	85216	2373	85642217	2389	85702218	2420	86322219	2424	8597220	2421	8536
221	2434	85322222	2455	8554
223	2470	85522224	2494	8590
225	2537	8690
226	2547	8673
227	2556	86522228	2565	86322229	2576	862230	2602	8663
231	2611	8644
232	2626	8645
233	2633	8622
234	2641	8598
23235	2643	85523236	2653	85423237	2665	8532
238	2677	8524
239	2692	8526
240	2702	8512
241	2709	8487
242	2720	8476
243	2732	84624244	2742	84524245	2753	8440
246	2760	84124247	2772	84024248	2778	838249	2810	8431
250	2826	8435
25251	2843	844252	2867	8467
253	2884	8472
254	2896	8461
25255	2908	845256	2923	8451
257	2942	8462
258	2954	8452
259	2971	8456
260	2982	8445
261	3001	8454
262	3008	8429
263	3026	8436
264	3043	8442
265	3058	8439
266	3071	8433
267	3079	8412
268	3085	8384
269	3095	8368
270	3104	8351
271	3114	8336
272	3122	8314
273	3132	8300
274	3139	8275
275	3151	8266
276	3160	8249
277	3171	8236
278	3185	8231
279	3197	8220
280	3208	8208
281	3217	8193
282	3228	8180
283	3235	8158
284	3246	8145
285	3254	8126
286	3265	8113
287	3277	8102
288	3282	8076
289	3298	8074
290	3315	8077
291	3326	8065
292	3332	8040
293	3337	8015
294	3351	8008
295	3366	8007
296	3376	7991
297	3386	7977
298	3394	7959
299	3403	7940
300	3410	7919
301	3420	7905
302	3431	7894
303	3439	7874
304	3448	7857
305	3456	7839
306	3463	7817
307	3472	7802
308	3481	7784
309	3491	7772
310	3496	7746
311	3511	7742
312	3524	7735
313	3534	7721
314	3546	7711
315	3558	7702
316	3587	7728
317	3610	7742
318	3632	7754
319	3652	7762
320	3656	7734
321	3659	7706
322	3663	7679
323	3679	7677
324	3686	7657
325	3700	7651
326	3710	7637
327	3720	7622
328	3728	7604
329	3740	7593
330	3748	7577
331	3760	7565
332	3772	7556
333	3780	7537
334	3787	7518
335	3795	7499
336	3803	7482
337	3814	7471
338	3832	7472
339	3838	7451
340	3846	7434
341	3854	7415
342	3863	7399
343	3873	7386
344	3884	7375
345	3897	7366
346	3905	7350
347	3917	7338
348	3927	7326
349	3936	7310
350	3944	7293
351	3953	7278
352	3962	7261
353	3984	7270
354	3988	7246
355	3992	7221
356	3996	7197
357	4000	7173
358	4003	7149
359	4008	7125
360	4012	366	4361	4016	367	4042	6943
368	4053	6931
369	4063	6918
370	4074	6907
371	4083	6894
372	4090	6876
373	4100	6864
374	4110	6850
375	4120	6838
376	4126	6818
377	4133	6801
378	4147	6796
379	4166	6797
380	4175	6783
381	4184	6770
382	4192	6753
383	4204	6744
384	4215	6733
385	4222	6716
386	4234	6707
387	4241	6690
388	4254	6682
389	4264	6670
390	4275	6658
391	4283	6644
392	4292	6630
393	4301	6615
394	4319	6616
395	4330	6605
396	4341	6594
397	4353	6585
398	4359	6567
399	4370	6555
400	4380	6542
401	4388	6528
402	4398	6516
403	4408	6503
404	4419	6493
405	4428	6478
406	4437	6464
407	4445	6450
408	4455	6438
409	4470	6433
410	4480	6420
411	4486	6403
412	4494	6387
413	4501	6371
414	4511	6359
415	4522	6348
416	4531	6335
417	4540	6321
418	4548	6306
419	4563	6301
420	4571	6287
421	4585	6280
422	4600	6275
423	4609	6261
424	4622	6253
425	4635	6246
426	4645	6234
427	4655	6221
428	4663	6206
429	4670	6191
430	4678	6176
431	4683	6158
432	4692	6144
433	4703	6133
434	4714	6122
435	4722	6109
436	4733	6097
437	4741	6084
438	4749	6069
439	4758	6055
440	4768	6044
441	4779	6034
442	478437	476443	479438	477444	4808	5997
445	4818	5985
446	4826	5970
447	4837	5960
448	484443	481449	485444	482450	485445	4839	6010
446	4847	5996
447	485453	488448	486454	489449	487455	491450	488456	491451	489457	492452	4909	5928
453	4926	5925
454	4937	5914
455	4948	5903
456	4957	5890
457	4972	5884
458	4987	5878
459	4998	5867
460	5011	5859
461	5022	5848
462	5034	5838
463	5042	5824
464	5051	5811
465	5064	5803
466	5074	5792
467	5090	5786
468	5105	5780
469	5113	5766
470	5122	5753
471	5135	5744
472	5146	5734
473	5159	5725
474	5171	5716
475	5182	5705
476	5195	5696
477	5205	5685
478	5217	5674
479	5236	5672
480	5245	5659
481	5265	5659
482	5278	5650
483	5290	5640
484	5302	5630
485	5316	5623
486	5326	5610
487	5333	5595
488	5340	5580
489	5351	5569
490	5357	5554
491	5362	5537
492	5368	5521
493	537499	540494	538500	541495	539501	542496	540502	544497	541503	545498	542504	546499	544505	547500	544506	548501	545507	5493	5320
508	5503	5308
509	5515	5299
510	5522	5284
511	5529	5269
512	553507	551513	554508	551514	5558	5234
515	5568	5223
516	5584	5217
517	5597	5208
518	5605	5195
519	5614	5182
520	5624	5170
521	5633	5158
522	5641	5144
523	5649	5132
524	5658	5119
525	5670	5109
526	5679	5097
527	5691	5087
528	5702	5077
529	5711	5065
530	5718	5050
531	5730	5040
532	5741	5030
533	575528	572534	575529	573535	576530	573536	577531	574537	5784	4967
538	5795	4956
539	5801	4942
540	5813	4932
541	5822	4920
542	5832	4909
543	5843	4898
544	5850	4884
545	5859	4871
546	5870	4861
547	5883	4852
548	5900	4846
549	5907	4833
550	5917	4821
551	59548	5914552	59549	5924553	59550	5933554	59551	5943555	5961	4760
556	5971	4749
557	5981	4738
